"OverallQual","Neighborhood","GarageCars","LandSlope","GrLivArea","WoodDeckSF","MSZoning","SaleType","BsmtUnfSF","YearRemodAdd","HouseStyle","BsmtQual","SalesPrice"
5,"NAmes",1.0,"Gtl",1314,250,"RL","WD",392.0,1957,"1Story","TA",144999.99999999994
7,"Gilbert",2.0,"Gtl",2291,192,"RL","WD",975.0,1999,"2Story","Gd",230000.0000000002
6,"Somerst",2.0,"Gtl",1728,216,"FV","WD",361.0,2003,"2Story","Gd",207499.99999999985
7,"CollgCr",2.0,"Gtl",1604,123,"RL","WD",270.0,2006,"1Story","Gd",219999.99999999985
7,"CollgCr",2.0,"Gtl",1792,0,"RL","WD",602.0,2001,"2Story","Gd",231499.99999999994
5,"OldTown",1.0,"Gtl",882,0,"RM","WD",0.0,1956,"1Story","_NA",96999.99999999997
6,"NAmes",2.0,"Gtl",1382,0,"RL","WD",0.0,1962,"SLvl","TA",176000.00000000006
8,"CollgCr",3.0,"Gtl",2574,0,"RL","New",1482.0,2007,"2Story","Ex",275999.9999999998
6,"Sawyer",2.0,"Gtl",1212,292,"RL","WD",0.0,1995,"SLvl","Gd",151000.0000000001
5,"OldTown",2.0,"Gtl",1316,0,"RM","WD",0.0,2001,"1.5Fin","TA",130000.00000000006
5,"OldTown",2.0,"Gtl",764,0,"RM","WD",680.0,2004,"1Story","Fa",72999.99999999997
6,"NWAmes",2.0,"Gtl",1422,276,"RL","WD",606.0,1981,"1Story","Gd",175499.99999999988
6,"Gilbert",2.0,"Gtl",1511,95,"RL","WD",88.0,1997,"2Story","Gd",185000.00000000006
5,"SWISU",1.0,"Mod",2192,262,"RL","WD",342.0,1997,"2.5Fin","TA",179500.00000000006
5,"IDOTRR",1.0,"Gtl",778,0,"RM","WD",212.0,1955,"1Story","TA",120499.99999999994
6,"Edwards",1.0,"Gtl",1113,370,"RL","WD",392.0,1976,"1Story","TA",147999.9999999999
8,"Somerst",3.0,"Gtl",1939,192,"FV","New",1095.0,2006,"2Story","Gd",265999.99999999994
7,"ClearCr",2.0,"Sev",1363,81,"RL","WD",96.0,2005,"1Story","Gd",241499.99999999983
8,"NoRidge",3.0,"Gtl",2270,132,"RL","WD",628.0,2007,"2Story","Gd",289999.9999999999
6,"NAmes",1.0,"Gtl",1632,289,"RL","WD",0.0,1988,"1Story","TA",138999.99999999994
5,"Mitchel",1.0,"Gtl",816,168,"RL","WD",270.0,1982,"1Story","TA",124499.99999999993
7,"BrkSide",2.0,"Gtl",1548,74,"RL","WD",952.0,2007,"1.5Fin","TA",205000.0
7,"Mitchel",2.0,"Gtl",1560,100,"RL","WD",1560.0,2003,"1Story","Ex",200999.99999999994
4,"Gilbert",2.0,"Gtl",864,0,"RL","WD",744.0,1951,"1Story","TA",141000.0
9,"NridgHt",3.0,"Gtl",2121,124,"RL","New",2121.0,2007,"1Story","Ex",415297.9999999998
7,"ClearCr",2.0,"Gtl",2022,288,"RL","WD",768.0,1977,"2Story","Gd",191999.99999999994
7,"SawyerW",2.0,"Gtl",1982,0,"RL","WD",386.0,1989,"2Story","Gd",228500.0
6,"Somerst",2.0,"Gtl",1262,0,"FV","New",357.0,2006,"1Story","Gd",185000.00000000006
7,"NridgHt",2.0,"Gtl",1314,172,"RL","ConLw",410.0,2008,"1Story","Gd",207499.99999999985
8,"Somerst",3.0,"Gtl",1468,210,"RL","New",1468.0,2009,"1Story","Gd",244599.9999999999
6,"SawyerW",2.0,"Gtl",1575,0,"RL","WD",1145.0,1992,"1Story","Gd",179199.9999999999
7,"Somerst",2.0,"Gtl",1250,0,"FV","New",625.0,2007,"2Story","Gd",164699.99999999994
6,"NAmes",2.0,"Gtl",1734,0,"RL","WD",312.0,1981,"1.5Fin","TA",158999.99999999997
4,"NAmes",0.0,"Gtl",858,0,"RL","WD",244.0,1971,"1Story","TA",88000.00000000001
5,"Sawyer",1.0,"Gtl",900,0,"RL","WD",432.0,1967,"1Story","TA",122000.0000000001
6,"BrkSide",1.0,"Gtl",1396,0,"RL","WD",698.0,2003,"2Story","TA",153575.0000000001
8,"CollgCr",2.0,"Gtl",1919,0,"RL","New",1079.0,2006,"2Story","Gd",233229.99999999983
5,"SWISU",0.0,"Gtl",1716,0,"RL","WD",570.0,2000,"2Story","TA",135900.00000000003
5,"Edwards",1.0,"Gtl",1716,0,"RL","WD",476.0,2008,"1.5Fin","TA",130999.99999999993
7,"NWAmes",2.0,"Gtl",2263,0,"RL","WD",0.0,1994,"2Story","TA",234999.99999999994
6,"NAmes",2.0,"Gtl",1644,110,"RL","WD",131.0,1953,"1Story","TA",166999.99999999988
6,"Mitchel",2.0,"Gtl",1003,120,"RL","WD",184.0,1984,"SLvl","TA",142500.0
5,"IDOTRR",1.0,"Gtl",1558,289,"RM","WD",490.0,1950,"1.5Fin","TA",151999.99999999997
7,"Somerst",2.0,"Gtl",1950,0,"FV","WD",326.0,1998,"2Story","Gd",239000.00000000003
6,"NWAmes",2.0,"Gtl",1743,224,"RL","WD",143.0,1968,"2Story","TA",175000.00000000003
6,"Crawfor",1.0,"Gtl",1152,0,"RL","WD",1092.0,2004,"1Story","TA",158499.99999999988
5,"Crawfor",1.0,"Gtl",1336,0,"RL","WD",324.0,1953,"1Story","TA",156999.9999999999
8,"CollgCr",2.0,"Gtl",2452,208,"RL","WD",747.0,1999,"2Story","Gd",267000.00000000023
7,"CollgCr",3.0,"Gtl",1541,468,"RL","WD",1541.0,2002,"1Story","Gd",205000.0
5,"CollgCr",2.0,"Gtl",894,256,"RL","WD",0.0,1972,"1Story","TA",149899.99999999994
7,"OldTown",3.0,"Gtl",3493,302,"RM","WD",1470.0,2002,"2.5Fin","TA",295000.00000000006
8,"CollgCr",3.0,"Gtl",2000,168,"RL","WD",536.0,2005,"1Story","Gd",305900.0000000001
7,"SawyerW",3.0,"Gtl",2243,127,"RL","WD",0.0,1991,"2Story","Gd",225000.00000000015
6,"IDOTRR",0.0,"Gtl",1406,0,"RM","WD",319.0,1950,"1.5Fin","TA",89499.99999999997
4,"Edwards",2.0,"Gtl",861,158,"RL","WD",599.0,1950,"1Story","TA",82500.00000000003
9,"NridgHt",3.0,"Gtl",1944,208,"RL","WD",622.0,2004,"1Story","Ex",359999.99999999994
6,"Gilbert",2.0,"Gtl",1501,190,"RL","WD",179.0,1994,"2Story","Gd",165599.9999999999
6,"NAmes",1.0,"Gtl",972,0,"RL","WD",292.0,2002,"1Story","TA",131999.99999999994
5,"OldTown",2.0,"Gtl",1118,0,"RM","WD",286.0,1950,"1.5Fin","Gd",119900.00000000003
7,"Timber",2.0,"Sev",2036,0,"RL","WD",80.0,1965,"1Story","Gd",375000.0000000002
7,"OldTown",2.0,"Gtl",1641,0,"RM","WD",712.0,1990,"2Story","TA",177999.99999999994
7,"Gilbert",2.0,"Gtl",1432,100,"RL","WD",291.0,2005,"2Story","Gd",188499.99999999997
7,"NWAmes",2.0,"Gtl",2353,288,"RL","WD",153.0,1980,"2Story","Gd",260000.00000000015
8,"Somerst",3.0,"Gtl",1959,208,"FV","WD",1088.0,2006,"2Story","Gd",269999.99999999977
7,"NoRidge",3.0,"Mod",2646,340,"RL","WD",360.0,1993,"2Story","Gd",260000.00000000015
7,"NWAmes",2.0,"Gtl",1472,233,"RL","WD",336.0,1980,"SLvl","Gd",187500.00000000006
9,"NridgHt",3.0,"Gtl",2596,240,"RL","New",1249.0,2006,"2Story","Ex",342642.9999999997
8,"NridgHt",3.0,"Gtl",2468,184,"RL","WD",166.0,2004,"2Story","Ex",354000.0000000001
7,"SawyerW",2.0,"Gtl",2730,201,"RL","WD",0.0,1987,"2Story","TA",300999.9999999998
3,"OldTown",1.0,"Gtl",1163,142,"RM","WD",906.0,2005,"1Story","TA",126175.00000000009
7,"NAmes",2.0,"Gtl",2978,240,"RL","WD",710.0,2007,"SLvl","Gd",242000.00000000003
5,"IDOTRR",2.0,"Gtl",803,0,"RM","WD",604.0,1950,"1.5Unf","TA",86999.99999999997
8,"Veenker",2.0,"Gtl",1719,122,"RL","Con",100.0,1993,"1Story","Gd",323999.9999999998
6,"NAmes",1.0,"Gtl",1383,0,"RL","WD",818.0,1960,"1Story","TA",145250.0
6,"BrkSide",2.0,"Gtl",2134,0,"RL","WD",844.0,1994,"2.5Unf","TA",214500.00000000012
5,"IDOTRR",1.0,"Gtl",1192,0,"RM","WD",596.0,1950,"2Story","TA",78000.00000000004
5,"NAmes",1.0,"Gtl",1728,155,"RL","WD",1424.0,1964,"1Story","TA",119000.0000000001
5,"NAmes",1.0,"Gtl",1056,0,"RL","WD",210.0,1992,"1Story","TA",138999.99999999994
8,"NridgHt",3.0,"Gtl",1629,0,"RL","WD",1603.0,2004,"1Story","Gd",284000.00000000023
7,"NridgHt",2.0,"Gtl",1358,192,"RM","WD",638.0,2004,"1Story","Gd",207000.0000000001
6,"Gilbert",2.0,"Gtl",1638,100,"RL","WD",115.0,1998,"2Story","Gd",191999.99999999994
5,"Timber",2.0,"Sev",1786,670,"RL","WD",103.0,1965,"1.5Fin","TA",228950.0
9,"StoneBr",3.0,"Gtl",1922,178,"RL","WD",673.0,2006,"1Story","Ex",377426.0000000003
7,"CollgCr",2.0,"Gtl",1536,192,"RL","WD",726.0,2003,"1Story","Gd",214000.00000000006
7,"NWAmes",2.0,"Gtl",1621,108,"RL","WD",995.0,1998,"1Story","Gd",202500.00000000003
6,"NAmes",1.0,"Gtl",1215,0,"RL","WD",630.0,1998,"1Story","TA",155000.0
8,"Timber",2.0,"Gtl",1908,135,"RL","WD",967.0,2002,"2Story","Gd",202900.0000000001
4,"SawyerW",1.0,"Gtl",841,250,"RH","WD",721.0,1950,"1Story","TA",81999.99999999993
3,"NAmes",2.0,"Gtl",1040,0,"RL","WD",0.0,1950,"1Story","_NA",87500.0
9,"NridgHt",2.0,"Gtl",1684,495,"RL","WD",1656.0,2005,"1Story","Ex",265999.99999999994
5,"MeadowV",1.0,"Gtl",1112,182,"RM","WD",175.0,1976,"2Story","Gd",85000.0
6,"BrkSide",1.0,"Gtl",1577,0,"RL","WD",972.0,1950,"1.5Fin","TA",140200.00000000006
6,"NAmes",1.0,"Gtl",958,0,"RL","WD",460.0,1998,"1Story","TA",151500.00000000003
6,"NAmes",2.0,"Gtl",1478,0,"RL","WD",208.0,1960,"1Story","TA",157499.99999999994
7,"NridgHt",2.0,"Gtl",1626,0,"RL","WD",191.0,2004,"2Story","Gd",154000.00000000003
9,"NridgHt",3.0,"Gtl",2728,0,"RL","New",438.0,2006,"2Story","Ex",437153.99999999965
9,"NridgHt",2.0,"Gtl",1869,210,"RL","New",1869.0,2007,"1Story","Ex",318060.9999999999
7,"ClearCr",2.0,"Mod",1453,0,"RL","WD",371.0,1986,"1Story","Gd",190000.00000000012
5,"Edwards",1.0,"Gtl",1111,48,"RL","ConLw",0.0,1950,"1.5Fin","TA",95000.00000000006
6,"OldTown",2.0,"Gtl",720,106,"RM","WD",624.0,2003,"1Story","TA",105899.99999999996
6,"SWISU",1.0,"Gtl",1595,0,"RL","WD",552.0,2000,"1.5Fin","TA",139999.9999999999
6,"CollgCr",2.0,"Gtl",1200,0,"RL","WD",322.0,1995,"1Story","Gd",177499.99999999997
6,"Gilbert",2.0,"Gtl",1167,120,"RL","WD",598.0,1992,"1Story","Gd",172999.99999999988
5,"MeadowV",2.0,"Gtl",1142,536,"RM","WD",268.0,1976,"1Story","Gd",134000.00000000006
5,"ClearCr",1.0,"Gtl",1352,168,"RL","WD",468.0,1958,"SLvl","TA",130000.00000000006
8,"NoRidge",2.0,"Gtl",1924,208,"RL","WD",130.0,1998,"2Story","Gd",279999.9999999998
6,"Mitchel",2.0,"Gtl",912,0,"RL","WD",115.0,1978,"SFoyer","Gd",156000.00000000012
5,"BrkSide",1.0,"Gtl",1505,0,"RL","WD",484.0,1982,"1.5Fin","TA",144999.99999999994
7,"Edwards",2.0,"Gtl",1922,0,"RL","ConLD",0.0,2003,"SFoyer","_NA",198500.0
6,"BrDale",1.0,"Gtl",987,250,"RM","WD",321.0,2007,"2Story","TA",117999.99999999991
6,"NWAmes",2.0,"Gtl",1574,306,"RL","WD",84.0,1976,"2Story","Gd",190000.00000000012
5,"IDOTRR",1.0,"Gtl",1344,0,"RM","WD",216.0,1997,"2Story","TA",146999.9999999999
6,"NAmes",2.0,"Gtl",1394,0,"RL","WD",785.0,1963,"1Story","Gd",158999.99999999997
6,"NAmes",1.0,"Gtl",1431,64,"RL","WD",728.0,1962,"SLvl","Gd",165000.00000000006
5,"NAmes",1.0,"Gtl",1268,0,"RL","WD",728.0,1954,"1Story","TA",131999.99999999994
5,"NAmes",2.0,"Gtl",1287,364,"RL","WD",733.0,2006,"1Story","TA",161999.99999999988
6,"Gilbert",2.0,"Gtl",1664,100,"RL","WD",953.0,2000,"2Story","Gd",172399.99999999988
4,"ClearCr",2.0,"Gtl",1588,0,"RL","WD",0.0,1959,"1.5Fin","_NA",134431.99999999994
6,"SawyerW",1.0,"Gtl",752,353,"RL","WD",0.0,1984,"1Story","Gd",124999.99999999991
5,"NAmes",1.0,"Gtl",1319,66,"RL","WD",0.0,1953,"1Story","TA",123000.00000000003
7,"CollgCr",2.0,"Gtl",1928,100,"RL","WD",847.0,2004,"2Story","Gd",219499.99999999997
1,"Edwards",0.0,"Sev",904,0,"RL","WD",333.0,1950,"1Story","Fa",61000.000000000044
5,"CollgCr",2.0,"Gtl",914,0,"RL","WD",572.0,1996,"SFoyer","Gd",147999.9999999999
8,"Somerst",2.0,"Gtl",2466,159,"FV","WD",1580.0,2005,"2Story","Gd",340000.00000000006
9,"StoneBr",3.0,"Gtl",1856,113,"RL","New",411.0,2010,"1Story","Ex",394432.00000000023
6,"Gilbert",2.0,"Gtl",1800,100,"RL","WD",982.0,2000,"2Story","Gd",178999.99999999994
5,"SWISU",1.0,"Gtl",1691,0,"RL","WD",808.0,1950,"1.5Fin","TA",126999.99999999996
7,"Somerst",2.0,"Gtl",1301,216,"FV","New",1293.0,2006,"1Story","Gd",187750.00000000003
7,"CollgCr",2.0,"Gtl",1797,144,"RL","WD",939.0,2006,"2Story","Gd",213500.00000000017
6,"SawyerW",2.0,"Gtl",784,0,"RH","WD",784.0,1950,"1.5Unf","Fa",75999.99999999999
6,"ClearCr",2.0,"Mod",1953,216,"RL","WD",595.0,1992,"2Story","Gd",240000.00000000015
8,"Blmngtn",2.0,"Gtl",1269,146,"RL","WD",1232.0,2005,"1Story","Gd",191999.99999999994
5,"Edwards",0.0,"Gtl",1184,0,"RL","WD",658.0,1996,"1.5Fin","TA",80999.99999999994
6,"Edwards",1.0,"Gtl",1125,296,"RL","WD",410.0,1976,"SLvl","TA",124999.99999999991
7,"CollgCr",2.0,"Gtl",1479,120,"RL","WD",1468.0,2000,"1Story","Gd",190999.99999999994
10,"NridgHt",3.0,"Gtl",2332,196,"RL","New",402.0,2008,"2Story","Ex",426000.0000000001
5,"Edwards",1.0,"Gtl",1367,0,"RL","WD",229.0,1950,"1.5Fin","TA",119000.0000000001
6,"Mitchel",2.0,"Gtl",1961,125,"RL","WD",114.0,2002,"2Story","Ex",215000.00000000006
5,"NAmes",1.0,"Gtl",882,0,"RL","WD",0.0,1959,"1Story","_NA",106500.0
4,"BrkSide",0.0,"Gtl",788,0,"RL","WD",522.0,1950,"1Story","TA",100000.00000000001
5,"OldTown",1.0,"Gtl",1034,0,"RL","WD",735.0,1950,"1.5Fin","TA",108999.99999999994
5,"Edwards",1.0,"Gtl",1144,44,"RL","WD",405.0,1956,"1Story","TA",129000.00000000006
5,"CollgCr",2.0,"Gtl",894,215,"RL","WD",117.0,1972,"1Story","TA",123000.00000000003
5,"NAmes",1.0,"Gtl",1812,0,"RL","WD",324.0,1962,"2Story","TA",169499.99999999988
5,"IDOTRR",1.0,"Gtl",1077,0,"RM","WD",961.0,1950,"1Story","Fa",67000.00000000001
7,"Somerst",2.0,"Gtl",1550,0,"FV","WD",280.0,2007,"2Story","Gd",240999.99999999988
8,"Veenker",2.0,"Gtl",1288,120,"RL","WD",474.0,1996,"1Story","Gd",245500.0000000001
7,"CollgCr",2.0,"Gtl",1310,0,"RL","New",1286.0,2005,"1Story","Gd",164990.00000000012
5,"Sawyer",1.0,"Gtl",672,168,"RL","WD",672.0,1997,"1Story","TA",108000.0
8,"NoRidge",2.0,"Gtl",2263,144,"RL","WD",1141.0,1998,"2Story","Gd",258000.00000000015
6,"Gilbert",2.0,"Gtl",1572,0,"RL","WD",806.0,1996,"2Story","Gd",167999.99999999994
4,"Sawyer",2.0,"Gtl",1620,120,"RL","WD",165.0,1993,"1Story","TA",149999.99999999994
6,"SWISU",1.0,"Gtl",1639,0,"RL","WD",1064.0,1950,"1.5Fin","TA",115000.00000000009
6,"Crawfor",1.0,"Gtl",1680,0,"RL","WD",840.0,1976,"2Story","Gd",177000.00000000006
7,"NridgHt",3.0,"Gtl",2172,192,"RL","New",1063.0,2006,"2Story","Ex",279999.9999999998
8,"Somerst",3.0,"Gtl",2078,0,"FV","New",245.0,2008,"2Story","Ex",339749.99999999977
5,"Edwards",1.0,"Gtl",1276,0,"RL","COD",1276.0,1958,"1Story","TA",60000.00000000002
5,"Gilbert",2.0,"Gtl",1056,264,"RL","WD",0.0,1955,"1Story","TA",144999.99999999994
7,"Somerst",2.0,"Gtl",1478,0,"FV","New",892.0,2009,"1Story","Ex",222000.00000000012
5,"OldTown",2.0,"Gtl",1028,0,"RM","WD",1008.0,1950,"1Story","TA",115000.00000000009
7,"SawyerW",3.0,"Gtl",2097,196,"RL","WD",499.0,1993,"2Story","Gd",227999.99999999983
7,"Gilbert",2.0,"Gtl",1340,100,"RL","New",1316.0,2007,"1Story","Gd",181134.0000000001
6,"Sawyer",2.0,"Gtl",1400,0,"RL","WD",463.0,1978,"2Story","TA",149499.99999999988
6,"Crawfor",3.0,"Gtl",2624,0,"RL","WD",242.0,1950,"2Story","Gd",239000.00000000003
5,"Edwards",1.0,"Gtl",1134,0,"RL","WD",444.0,1950,"1.5Fin","TA",126000.00000000007
5,"NAmes",1.0,"Gtl",1056,0,"RL","WD",281.0,1968,"1Story","TA",142000.00000000012
7,"Mitchel",4.0,"Gtl",1344,0,"RM","WD",35.0,1998,"SFoyer","Gd",206300.00000000006
6,"NWAmes",2.0,"Gtl",1602,240,"RL","WD",356.0,2000,"1Story","Gd",215000.00000000006
5,"Mitchel",2.0,"Mod",988,0,"RL","WD",988.0,1954,"1Story","TA",113000.0
8,"NoRidge",3.0,"Gtl",2630,0,"RL","WD",484.0,1998,"2Story","Gd",314999.99999999994
6,"NAmes",1.0,"Gtl",1196,0,"RL","WD",580.0,1956,"1Story","Gd",138999.99999999994
7,"OldTown",1.0,"Gtl",1389,0,"RM","WD",651.0,1992,"2Story","TA",135000.00000000012
7,"SawyerW",2.0,"Mod",1644,80,"RL","WD",0.0,1989,"SLvl","Gd",275000.00000000006
4,"NAmes",1.0,"Gtl",907,0,"RL","WD",619.0,1957,"1Story","TA",109008.00000000007
7,"CollgCr",2.0,"Gtl",1208,105,"RL","New",544.0,2007,"1Story","Gd",195399.99999999985
6,"Timber",2.0,"Gtl",1412,0,"RL","WD",387.0,1988,"1Story","Gd",175000.00000000003
6,"BrDale",1.0,"Gtl",987,0,"RM","COD",96.0,1971,"2Story","TA",85399.99999999999
6,"OldTown",0.0,"Gtl",1198,0,"RM","ConLD",901.0,1998,"1.5Fin","TA",79900.00000000003
5,"BrDale",2.0,"Gtl",1365,240,"RM","WD",294.0,1971,"2Story","TA",122499.9999999999
6,"Gilbert",2.0,"Gtl",1604,0,"RL","WD",926.0,1998,"2Story","Gd",180999.99999999985
4,"MeadowV",0.0,"Gtl",630,88,"RM","WD",135.0,1972,"SFoyer","Gd",80999.99999999994
7,"CollgCr",2.0,"Gtl",1661,158,"RL","ConLw",70.0,1996,"2Story","Gd",212000.00000000012
6,"OldTown",2.0,"Gtl",1118,0,"RM","WD",648.0,1950,"1.5Fin","Fa",116000.00000000006
6,"BrkSide",1.0,"Gtl",904,0,"RM","WD",884.0,2004,"1.5Unf","TA",119000.0000000001
5,"Crawfor",1.0,"Gtl",694,0,"RL","WD",75.0,2002,"1Story","TA",90349.99999999997
6,"Edwards",2.0,"Gtl",1196,0,"RL","ConLI",684.0,2000,"1.5Fin","TA",109999.99999999991
10,"NridgHt",3.0,"Gtl",2402,0,"RL","WD",788.0,2008,"1Story","Ex",554999.9999999998
4,"Edwards",0.0,"Gtl",1440,0,"RL","WD",1307.0,1955,"1Story","TA",117999.99999999991
5,"BrkSide",2.0,"Gtl",1573,0,"RM","WD",1078.0,1992,"1.5Fin","TA",162900.0000000001
7,"Blmngtn",3.0,"Gtl",1258,144,"RL","New",1258.0,2007,"1Story","Ex",172500.0
7,"CollgCr",2.0,"Gtl",1908,144,"RL","WD",273.0,1995,"2Story","Gd",210000.0000000001
6,"Edwards",2.0,"Gtl",1689,0,"RL","COD",1436.0,1956,"1Story","TA",127499.99999999991
6,"NAmes",2.0,"Gtl",1888,0,"RL","WD",557.0,2002,"1Story","TA",190000.00000000012
7,"Gilbert",2.0,"Gtl",1886,89,"RL","WD",930.0,1999,"2Story","Gd",199900.0
6,"IDOTRR",1.0,"Gtl",1376,0,"RM","WD",780.0,1950,"1.5Fin","TA",119500.0
3,"OldTown",1.0,"Gtl",1183,0,"RM","WD",318.0,2002,"1.5Fin","TA",120000.00000000006
6,"OldTown",1.0,"Gtl",813,0,"RM","WD",813.0,2005,"1Story","TA",109999.99999999991
7,"ClearCr",2.0,"Mod",1533,200,"RL","WD",878.0,1975,"1Story","Gd",279999.9999999998
6,"Timber",2.0,"Gtl",1756,144,"RL","WD",130.0,1997,"2Story","Ex",204000.00000000006
8,"Somerst",2.0,"Gtl",1590,0,"FV","WD",768.0,2008,"2Story","Gd",210000.0000000001
5,"Mitchel",2.0,"Gtl",1728,0,"RL","WD",122.0,1976,"1Story","TA",188000.00000000012
7,"NWAmes",2.0,"Gtl",1242,0,"RL","WD",326.0,1973,"1Story","TA",175499.99999999988
5,"OldTown",3.0,"Gtl",1344,0,"RM","COD",624.0,1950,"2Story","TA",98000.00000000001
4,"ClearCr",2.0,"Mod",1663,224,"RL","WD",248.0,1994,"1Story","Gd",256000.00000000012
8,"OldTown",1.0,"Gtl",1666,192,"RM","WD",588.0,1996,"2Story","TA",160999.99999999997
5,"BrkSide",1.0,"Gtl",1203,0,"RL","WD",524.0,1950,"1.5Fin","TA",109999.99999999991
8,"Somerst",2.0,"Gtl",1935,0,"FV","New",288.0,2009,"2Story","Gd",263434.99999999977
7,"SWISU",2.0,"Gtl",1135,256,"RL","WD",0.0,2007,"2Story","Gd",155000.0
5,"Sawyer",1.0,"Gtl",864,0,"RL","WD",0.0,1965,"1Story","TA",62382.99999999996
6,"Crawfor",1.0,"Mod",1660,0,"RL","WD",389.0,1995,"2Story","TA",188700.00000000006
5,"CollgCr",0.0,"Mod",1040,0,"RL","WD",424.0,1978,"1Story","Gd",124000.0000000001
7,"Blmngtn",2.0,"Gtl",1414,144,"RM","WD",1375.0,2004,"1Story","Gd",178739.99999999988
7,"NAmes",2.0,"Gtl",1277,0,"RL","WD",499.0,1970,"1Story","TA",166999.99999999988
5,"NAmes",1.0,"Gtl",1644,168,"RL","WD",342.0,1995,"2Story","TA",146499.99999999988
8,"NridgHt",3.0,"Gtl",1634,0,"RL","WD",1626.0,2006,"1Story","Gd",249999.99999999983
6,"SawyerW",2.0,"Gtl",1710,144,"RL","WD",406.0,1993,"2Story","Gd",187000.00000000017
8,"StoneBr",2.0,"Gtl",1502,0,"RL","WD",0.0,1985,"1Story","Gd",212000.00000000012
7,"NWAmes",2.0,"Gtl",1969,0,"RL","WD",808.0,1977,"2Story","Gd",190000.00000000012
6,"Edwards",2.0,"Gtl",1072,0,"RM","WD",88.0,2005,"SLvl","Gd",147999.9999999999
8,"NridgHt",3.0,"Gtl",1976,250,"RL","New",626.0,2007,"1Story","Ex",439999.99999999977
8,"StoneBr",2.0,"Gtl",1652,96,"RL","WD",298.0,2000,"1Story","Gd",250999.99999999983
5,"Sawyer",2.0,"Gtl",970,0,"RL","WD",340.0,1963,"1Story","TA",132499.99999999994
6,"CollgCr",2.0,"Mod",1493,140,"RL","WD",484.0,1998,"1Story","Gd",208899.99999999988
9,"NridgHt",3.0,"Gtl",2643,414,"RL","WD",2153.0,2006,"2Story","Gd",380000.0000000003
8,"CollgCr",3.0,"Gtl",1718,208,"RL","WD",417.0,2008,"1Story","Ex",297000.0
4,"OldTown",2.0,"Gtl",1131,0,"RM","WD",739.0,2000,"1Story","Fa",89471.0
9,"NridgHt",3.0,"Gtl",1850,519,"RL","WD",572.0,2005,"1Story","Ex",326000.00000000023
9,"NridgHt",3.0,"Gtl",1792,206,"RL","WD",225.0,2004,"1Story","Ex",373999.9999999997
7,"OldTown",1.0,"Gtl",1826,0,"RM","WD",611.0,2005,"2Story","TA",155000.0
6,"Mitchel",2.0,"Gtl",1216,0,"RM","WD",319.0,1998,"1Story","Ex",163999.99999999988
5,"Sawyer",1.0,"Gtl",999,0,"RL","WD",411.0,2001,"1Story","TA",132499.99999999994
5,"NAmes",1.0,"Gtl",1113,0,"RL","WD",506.0,2007,"1Story","TA",146999.9999999999
5,"NAmes",2.0,"Gtl",1073,0,"RL","WD",237.0,1965,"1Story","TA",156000.00000000012
5,"NWAmes",2.0,"Gtl",1484,224,"RL","WD",486.0,1971,"1Story","Gd",175000.00000000003
5,"OldTown",2.0,"Gtl",2414,142,"RL","ConLD",290.0,1970,"1.5Fin","TA",159999.9999999999
4,"MeadowV",1.0,"Gtl",630,0,"RM","WD",115.0,2002,"SFoyer","Gd",85999.99999999994
5,"MeadowV",1.0,"Gtl",1304,141,"RM","WD",264.0,1976,"2Story","Gd",115000.00000000009
6,"NAmes",1.0,"Gtl",1578,0,"RL","WD",238.0,1950,"1.5Fin","TA",132999.99999999997
6,"Gilbert",2.0,"Gtl",1456,0,"RL","New",728.0,2006,"2Story","Gd",172784.99999999985
5,"NAmes",1.0,"Gtl",1269,0,"RL","WD",363.0,1960,"1Story","TA",155000.0
5,"OldTown",1.0,"Gtl",886,144,"RM","WD",190.0,1996,"1Story","Fa",91299.99999999991
4,"IDOTRR",0.0,"Gtl",720,0,"C (all)","WD",225.0,1950,"1Story","TA",34900.00000000001
8,"NoRidge",2.0,"Gtl",3228,264,"RL","WD",1969.0,1993,"1Story","Gd",430000.0000000002
7,"BrkSide",1.0,"Gtl",1820,0,"RL","WD",697.0,1950,"1.5Fin","TA",184000.0
5,"Sawyer",1.0,"Gtl",899,64,"RL","WD",414.0,2004,"1Story","TA",130000.00000000006
5,"NAmes",1.0,"Gtl",912,12,"RL","WD",522.0,1985,"1Story","TA",120000.00000000006
6,"BrDale",1.0,"Gtl",1218,144,"RM","WD",316.0,1973,"2Story","TA",113000.0
7,"Somerst",2.0,"Gtl",1768,0,"FV","WD",466.0,2005,"2Story","Gd",226700.00000000012
5,"Edwards",2.0,"Gtl",1214,0,"RL","WD",420.0,1965,"1Story","TA",139999.9999999999
7,"Crawfor",2.0,"Gtl",1801,0,"RL","WD",254.0,1997,"1Story","TA",289000.0
6,"NPkVill",2.0,"Gtl",1322,260,"RL","WD",103.0,1974,"2Story","TA",146999.9999999999
5,"OldTown",2.0,"Gtl",1960,0,"RM","COD",960.0,1952,"2Story","TA",124499.99999999993
8,"SawyerW",2.0,"Gtl",1911,182,"RL","WD",397.0,1994,"2Story","Gd",215000.00000000006
6,"Somerst",2.0,"Gtl",1218,0,"FV","New",1191.0,2009,"1Story","Gd",208300.0
7,"OldTown",2.0,"Gtl",1378,0,"RM","WD",548.0,2005,"2Story","TA",160999.99999999997
5,"NAmes",1.0,"Gtl",1041,224,"RL","WD",50.0,1959,"1Story","TA",124499.99999999993
